c Pb de flot max
a 104 153 674748 65151
a 104 154 581140 0
a 104 155 846793 322103
a 105 154 342160 279087
a 105 155 11421 11421
a 105 156 637197 637197
a 106 155 412822 412822
a 106 156 408111 408111
a 106 157 762816 245359
a 107 156 241442 157529
a 107 157 414441 2877
a 107 158 391843 391843
a 108 157 561804 527797
a 108 158 59716 59716
a 108 159 937168 0
a 109 158 846094 846094
a 109 159 561163 98978
a 109 160 598276 0
a 110 159 254861 254861
a 110 160 722869 0
a 110 161 360469 0
a 111 160 646380 258434
a 111 161 585309 189788
a 111 162 291739 13486
a 112 161 760268 499468
a 112 162 816856 322519
a 112 163 851357 809656
a 113 162 690287 690287
a 113 163 412833 412833
a 113 164 223970 223970
a 114 163 503874 503874
a 114 164 87581 87581
a 114 165 321461 0
a 115 164 350666 350666
a 115 165 429740 203727
a 115 166 332881 0
a 116 165 504215 90651
a 116 166 842561 660967
a 116 167 257343 257343
a 117 166 267030 47818
a 117 167 600354 600354
a 117 168 671783 0
a 118 167 175224 175224
a 118 168 162157 162157
a 118 169 731499 731499
a 119 168 628743 628743
a 119 169 8251 8251
a 119 170 809013 0
a 120 169 227018 227018
a 120 170 779463 751314
a 120 171 531881 196429
a 121 170 103839 103839
a 121 171 425842 425842
a 121 172 633541 615655
a 122 171 395577 288737
a 122 172 702461 444393
a 122 173 966749 0
a 123 172 763285 763285
a 123 173 392748 108689
a 123 174 379581 0
a 124 173 987254 671082
a 124 174 896621 111791
a 124 175 467161 467161
a 125 174 308715 91211
a 125 175 763639 202466
a 125 176 413253 413253
a 126 175 157947 0
a 126 176 784205 10729
a 126 177 772165 533096
a 127 176 415290 415290
a 127 177 567586 567586
a 127 178 372519 372519
a 128 177 87072 44815
a 128 178 742809 596713
a 128 179 534675 534675
a 129 178 334922 334922
a 129 179 371551 371551
a 129 180 59277 0
a 130 179 143935 143935
a 130 180 598569 9868
a 130 181 838740 0
a 131 180 192167 192167
a 131 181 218759 26302
a 131 182 780933 88938
a 132 181 825708 593220
a 132 182 614335 614335
a 132 183 999746 495577
a 133 182 308808 308808
a 133 183 377619 377619
a 133 184 392493 392493
a 134 183 688388 0
a 134 184 881225 386855
a 134 185 805465 805465
a 135 184 671901 671901
a 135 185 189939 189939
a 135 186 85455 0
a 136 185 85153 85153
a 136 186 347885 74812
a 136 187 869659 344547
a 137 186 373669 103811
a 137 187 279526 209482
a 137 188 953596 941995
a 138 187 746187 746187
a 138 188 366598 366598
a 138 189 696404 0
a 139 188 280862 280862
a 139 189 701519 228509
a 139 190 584307 92209
a 140 189 856490 234395
a 140 190 361805 361805
a 140 191 699227 6573
a 141 190 211581 211581
a 141 191 553972 238722
a 141 192 917985 0
a 142 191 992514 448424
a 142 192 896031 868104
a 142 193 532319 0
a 143 192 992259 992259
a 143 193 204838 204838
a 143 194 426289 0
a 144 193 901103 541829
a 144 194 409577 389847
a 144 195 307513 0
a 145 194 222919 222919
a 145 195 81477 81477
a 145 196 13803 13803
a 146 195 308374 66329
a 146 196 682981 496902
a 146 197 878040 878040
a 147 196 694384 694384
a 147 197 56650 56650
a 147 198 157565 157565
a 148 197 647980 647980
a 148 198 802836 802836
a 148 199 40514 40514
a 149 198 860735 0
a 149 199 600049 0
a 149 200 742033 590753
a 150 199 445041 445041
a 150 200 456539 456539
a 150 201 103837 103837
a 151 200 144267 144267
a 151 201 668119 668119
a 151 152 174160 174160
a 152 251 62251 0
a 152 202 176984 103970
a 152 203 70190 70190
a 153 202 110921 0
a 153 203 169242 169242
a 153 204 791379 113889
a 154 203 53562 53562
a 154 204 586696 272078
a 154 205 200956 200956
a 155 204 877426 0
a 155 205 809615 624487
a 155 206 798784 121859
a 156 205 891229 648152
a 156 206 117988 117988
a 156 207 481765 436697
a 157 206 285620 285620
a 157 207 328723 328723
a 157 208 538414 161690
a 158 207 959536 169044
a 158 208 976702 397895
a 158 209 857601 730714
a 159 208 50 50
a 159 209 353789 353789
a 159 210 457650 0
a 160 209 258434 258434
a 160 210 798829 0
a 160 211 430540 0
a 161 210 878622 498476
a 161 211 943096 190780
a 161 212 98658 0
a 162 211 52782 52782
a 162 212 521698 181516
a 162 213 791994 791994
a 163 212 639323 639323
a 163 213 148971 148971
a 163 214 961235 938069
a 164 213 947054 459685
a 164 214 202532 202532
a 164 215 64283 0
a 165 214 148009 148009
a 165 215 596309 0
a 165 216 873897 146369
a 166 215 946792 704896
a 166 216 3889 3889
a 166 217 508236 0
a 167 216 944908 874046
a 167 217 289508 158875
a 167 218 353310 0
a 168 217 999673 23262
a 168 218 249044 224133
a 168 219 846364 543505
a 169 218 857274 731499
a 169 219 249093 161632
a 169 220 200152 73637
a 170 219 831275 831275
a 170 220 23878 23878
a 170 221 998980 0
a 171 220 261814 261814
a 171 221 902499 649194
a 171 222 458427 0
a 172 221 876823 876823
a 172 222 955280 859626
a 172 223 496477 86884
a 173 222 668816 668816
a 173 223 110955 110955
a 173 224 645447 0
a 174 223 146403 146403
a 174 224 58008 0
a 174 225 364330 56599
a 175 224 727037 497247
a 175 225 206016 103423
a 175 226 960638 68957
a 176 225 600933 121679
a 176 226 669159 669159
a 176 227 480879 48434
a 177 226 625520 577911
a 177 227 614067 554291
a 177 228 770386 13295
a 178 227 978829 690415
a 178 228 613739 613739
a 178 229 535781 0
a 179 228 825192 610320
a 179 229 987364 439841
a 179 230 301225 0
a 180 229 25343 25343
a 180 230 818638 176692
a 180 231 325102 0
a 181 230 540675 540675
a 181 231 596803 78847
a 181 232 227601 0
a 182 231 999101 474298
a 182 232 989978 354903
a 182 233 182880 182880
a 183 232 495577 495577
a 183 233 175145 136826
a 183 234 293834 240793
a 184 233 657375 4783
a 184 234 837899 630132
a 184 235 868193 816334
a 185 234 538056 515622
a 185 235 564935 564935
a 185 236 74208 0
a 186 235 15046 15046
a 186 236 682219 163577
a 186 237 259719 0
a 187 236 495924 495924
a 187 237 307738 58105
a 187 238 873785 746187
a 188 237 782661 782661
a 188 238 802919 802919
a 188 239 3875 3875
a 189 238 318442 318442
a 189 239 144462 144462
a 189 240 991239 0
a 190 239 136018 136018
a 190 240 686157 348005
a 190 241 326228 181572
a 191 240 461120 461120
a 191 241 226831 226831
a 191 242 439383 5768
a 192 241 688720 688720
a 192 242 225931 225931
a 192 243 945712 945712
a 193 242 387951 387951
a 193 243 237860 237860
a 193 244 120856 120856
a 194 243 198137 198137
a 194 244 411586 411586
a 194 245 475107 3043
a 195 244 66329 66329
a 195 245 949642 81477
a 195 246 40041 0
a 196 245 656889 499097
a 196 246 481039 467380
a 196 247 238612 238612
a 197 246 916607 339717
a 197 247 976962 901758
a 197 248 546349 341195
a 198 247 306743 0
a 198 248 759622 239136
a 198 249 865619 721265
a 199 248 826969 0
a 199 249 594415 475474
a 199 250 10081 10081
a 200 249 334559 0
a 200 250 730433 495322
a 200 251 696237 696237
a 201 250 177139 140985
a 201 251 191552 191552
a 201 202 439419 439419
a 202 301 616521 0
a 202 252 396623 361688
a 202 253 181701 181701
a 203 252 78584 0
a 203 253 300925 0
a 203 254 419560 292994
a 204 253 199439 199439
a 204 254 15413 15413
a 204 255 347498 171115
a 205 254 674545 674545
a 205 255 598094 598094
a 205 256 813491 200956
a 206 255 230938 230938
a 206 256 771334 0
a 206 257 294529 294529
a 207 256 469549 242763
a 207 257 204292 82775
a 207 258 787842 608926
a 208 257 532249 532249
a 208 258 27386 27386
a 208 259 547463 0
a 209 258 914220 914220
a 209 259 854354 428717
a 209 260 141878 0
a 210 259 440652 440652
a 210 260 705265 57824
a 210 261 388662 0
a 211 260 136888 136888
a 211 261 398755 10109
a 211 262 96565 96565
a 212 261 576306 576306
a 212 262 15275 15275
a 212 263 493187 229258
a 213 262 758006 554725
a 213 263 610210 610210
a 213 264 310463 235715
a 214 263 693918 693918
a 214 264 809648 131314
a 214 265 842228 463378
a 215 264 557767 557767
a 215 265 545 545
a 215 266 956673 146584
a 216 265 371257 371257
a 216 266 747834 653047
a 216 267 728006 0
a 217 266 182137 182137
a 217 267 733734 0
a 217 268 932297 0
a 218 267 969978 143026
a 218 268 782334 782334
a 218 269 476034 30272
a 219 268 517440 517440
a 219 269 696553 696553
a 219 270 846739 322419
a 220 269 175669 175669
a 220 270 137204 137204
a 220 271 552003 46456
a 221 270 80682 80682
a 221 271 790443 790443
a 221 272 950757 654892
a 222 271 177246 177246
a 222 272 883100 883100
a 222 273 482383 468096
a 223 272 186784 186784
a 223 273 157458 157458
a 223 274 92592 0
a 224 273 497247 497247
a 224 274 851375 0
a 224 275 418592 0
a 225 274 855826 172695
a 225 275 925493 52407
a 225 276 935488 56599
a 226 275 812498 732638
a 226 276 813101 583389
a 226 277 199673 0
a 227 276 540503 540503
a 227 277 995237 752637
a 227 278 933406 0
a 228 277 989151 989151
a 228 278 965214 248203
a 228 279 715739 0
a 229 278 465184 465184
a 229 279 999005 0
a 229 280 412292 0
a 230 279 311922 175247
a 230 280 691026 542120
a 230 281 65847 0
a 231 280 380277 380277
a 231 281 771707 172868
a 231 282 856290 0
a 232 281 847385 847385
a 232 282 465305 3095
a 232 283 739389 0
a 233 282 846120 324489
a 233 283 652088 0
a 233 284 896846 0
a 234 283 938711 879604
a 234 284 665686 454183
a 234 285 264572 52760
a 235 284 873654 684740
a 235 285 521511 521511
a 235 286 190064 190064
a 236 285 325493 325493
a 236 286 334008 334008
a 236 287 3164 0
a 237 286 525165 525165
a 237 287 390862 315601
a 237 288 514752 0
a 238 287 974922 923330
a 238 288 896364 854285
a 238 289 479965 89933
a 239 288 690661 53931
a 239 289 361547 230424
a 239 290 995322 0
a 240 289 619304 619304
a 240 290 189821 189821
a 240 291 686347 0
a 241 290 685150 685150
a 241 291 86449 86449
a 241 292 974405 325524
a 242 291 57791 5768
a 242 292 933833 174173
a 242 293 439709 439709
a 243 292 797180 533578
a 243 293 779952 779952
a 243 294 608149 68179
a 244 293 694025 120856
a 244 294 235015 204081
a 244 295 273834 273834
a 245 294 474949 474949
a 245 295 108668 108668
a 245 296 795345 0
a 246 295 181364 181364
a 246 296 950513 433284
a 246 297 645704 192449
a 247 296 700880 700880
a 247 297 475677 409006
a 247 298 552918 30484
a 248 297 215631 215631
a 248 298 966951 0
a 248 299 449281 364700
a 249 298 211948 211948
a 249 299 657611 657611
a 249 300 327180 327180
a 250 299 207269 0
a 250 300 793266 427698
a 250 301 517000 218690
a 251 300 409967 0
a 251 301 994767 767989
a 251 252 119800 119800
a 252 351 900723 375298
a 252 302 52558 52558
a 252 303 53632 53632
a 253 302 856784 0
a 253 303 849737 31204
a 253 304 349936 349936
a 254 303 464932 337889
a 254 304 60113 60113
a 254 305 584950 584950
a 255 304 738765 738765
a 255 305 51413 51413
a 255 306 209969 209969
a 256 305 50461 50461
a 256 306 232777 232777
a 256 307 160481 160481
a 257 306 212517 212517
a 257 307 933656 544526
a 257 308 152510 152510
a 258 307 765434 765434
a 258 308 149286 149286
a 258 309 635812 635812
a 259 308 214714 214714
a 259 309 361233 361233
a 259 310 293422 293422
a 260 309 58245 58245
a 260 310 84853 84853
a 260 311 603039 51614
a 261 310 91596 91596
a 261 311 494819 494819
a 261 312 597805 0
a 262 311 211395 148234
a 262 312 911894 0
a 262 313 650362 518331
a 263 312 781379 764709
a 263 313 768677 768677
a 263 314 16450 0
a 264 313 131314 131314
a 264 314 233608 200567
a 264 315 592915 592915
a 265 314 716263 112837
a 265 315 972372 78016
a 265 316 644327 644327
a 266 315 442583 442583
a 266 316 539185 539185
a 266 317 877103 0
a 267 316 119416 119416
a 267 317 751701 23610
a 267 318 810758 0
a 268 317 788277 469497
a 268 318 517134 353881
a 268 319 476396 476396
a 269 318 424088 424088
a 269 319 248199 248199
a 269 320 837628 230207
a 270 319 233861 233861
a 270 320 306444 306444
a 270 321 438833 0
a 271 320 836899 836899
a 271 321 398039 166098
a 271 322 450003 11148
a 272 321 951055 800281
a 272 322 609434 609434
a 272 323 361896 315061
a 273 322 601417 601417
a 273 323 390812 390812
a 273 324 130572 130572
a 274 323 134218 134218
a 274 324 38477 38477
a 274 325 880531 0
a 275 324 727132 727132
a 275 325 271091 57913
a 275 326 852903 0
a 276 325 887811 887811
a 276 326 713673 109082
a 276 327 392087 183598
a 277 326 764913 764913
a 277 327 833088 833088
a 277 328 143787 143787
a 278 327 92023 92023
a 278 328 621364 621364
a 278 329 177272 0
a 279 328 84770 84770
a 279 329 561803 90477
a 279 330 425470 0
a 280 329 922397 922397
a 280 330 795663 0
a 280 331 731913 0
a 281 330 877581 803908
a 281 331 632561 216345
a 281 332 646304 0
a 282 331 327584 327584
a 282 332 583616 0
a 282 333 772089 0
a 283 332 689479 623136
a 283 333 701384 196704
a 283 334 162900 59764
a 284 333 336403 336403
a 284 334 351953 351953
a 284 335 717728 450567
a 285 334 216933 216933
a 285 335 79085 79085
a 285 336 988818 603746
a 286 335 586187 565990
a 286 336 483247 483247
a 286 337 702490 0
a 287 336 494625 494625
a 287 337 764511 744306
a 287 338 51930 0
a 288 337 638411 638411
a 288 338 856533 269805
a 288 339 189645 0
a 289 338 332034 332034
a 289 339 941302 607627
a 289 340 751448 0
a 290 339 757504 371379
a 290 340 380051 333388
a 290 341 547110 170204
a 291 340 5768 5768
a 291 341 257631 0
a 291 342 696023 86449
a 292 341 652071 652071
a 292 342 101566 101566
a 292 343 279638 279638
a 293 342 424159 52099
a 293 343 791045 791045
a 293 344 497373 497373
a 294 343 103410 103410
a 294 344 643799 643799
a 294 345 849325 0
a 295 344 821137 563866
a 295 345 860731 0
a 295 346 444761 0
a 296 345 809954 322035
a 296 346 446918 318187
a 296 347 928007 493942
a 297 346 28796 28796
a 297 347 457894 457894
a 297 348 692518 330396
a 298 347 80725 80725
a 298 348 96305 96305
a 298 349 65402 65402
a 299 348 270369 108591
a 299 349 944690 390664
a 299 350 523056 523056
a 300 349 21816 0
a 300 350 702193 231992
a 300 351 903106 522886
a 301 350 85278 85278
a 301 351 224313 224313
a 301 302 677088 677088
a 302 401 781300 79105
a 302 352 876383 355535
a 302 353 295006 295006
a 303 352 577289 0
a 303 353 816894 0
a 303 354 602402 422725
a 304 353 74661 15623
a 304 354 920303 886991
a 304 355 246200 246200
a 305 354 923985 277899
a 305 355 257792 257792
a 305 356 623282 151133
a 306 355 885098 371115
a 306 356 584097 0
a 306 357 586551 284148
a 307 356 813104 813104
a 307 357 612892 612892
a 307 358 44445 44445
a 308 357 21973 0
a 308 358 209968 187839
a 308 359 657101 328671
a 309 358 87375 48071
a 309 359 996689 405429
a 309 360 601790 601790
a 310 359 610430 0
a 310 360 534856 427347
a 310 361 820335 42524
a 311 360 29887 29887
a 311 361 620133 620133
a 311 362 44647 44647
a 312 361 223326 223326
a 312 362 401432 401432
a 312 363 921029 139951
a 313 362 518331 518331
a 313 363 978720 899991
a 313 364 737922 0
a 314 363 120732 120732
a 314 364 569732 18095
a 314 365 174577 174577
a 315 364 883283 660862
a 315 365 10069 10069
a 315 366 948720 442583
a 316 365 506565 484315
a 316 366 895166 818613
a 316 367 532816 0
a 317 366 93115 93115
a 317 367 708269 367442
a 317 368 662060 32550
a 318 367 137559 137559
a 318 368 246594 246594
a 318 369 872027 393816
a 319 368 794659 217063
a 319 369 333968 40769
a 319 370 868715 700624
a 320 369 912801 912801
a 320 370 460749 460749
a 320 371 403571 0
a 321 370 733135 733135
a 321 371 6987 0
a 321 372 540055 233244
a 322 371 777781 298946
a 322 372 746664 746664
a 322 373 457839 176389
a 323 372 215161 215161
a 323 373 264995 226674
a 323 374 952910 398256
a 324 373 953083 0
a 324 374 902078 373539
a 324 375 522642 522642
a 325 374 644011 644011
a 325 375 301713 301713
a 325 376 532710 0
a 326 375 109082 109082
a 326 376 808277 764913
a 326 377 427875 0
a 327 376 641897 309321
a 327 377 417743 417743
a 327 378 652495 381645
a 328 377 820308 294619
a 328 378 555302 555302
a 328 379 899088 0
a 329 378 208687 208687
a 329 379 866312 804187
a 329 380 749407 0
a 330 379 593753 593753
a 330 380 295464 0
a 330 381 210155 210155
a 331 380 997323 515331
a 331 381 28598 28598
a 331 382 733493 0
a 332 381 53730 53730
a 332 382 806378 387288
a 332 383 480157 182118
a 333 382 511568 511568
a 333 383 21539 21539
a 333 384 261503 0
a 334 383 464477 464477
a 334 384 490973 164173
a 334 385 679932 0
a 335 384 987118 529652
a 335 385 651335 183311
a 335 386 981644 382679
a 336 385 519827 514930
a 336 386 760416 760416
a 336 387 306272 306272
a 337 386 464053 464053
a 337 387 918664 918664
a 337 388 724015 0
a 338 387 116548 116548
a 338 388 255324 0
a 338 389 795668 485291
a 339 388 531987 336665
a 339 389 464010 464010
a 339 390 178331 178331
a 340 389 281394 281394
a 340 390 57762 57762
a 340 391 473795 0
a 341 390 7900 7900
a 341 391 571437 336302
a 341 392 502392 478073
a 342 391 741393 86449
a 342 392 625166 9512
a 342 393 825122 144153
a 343 392 737901 674348
a 343 393 136733 136733
a 343 394 363012 363012
a 344 393 999403 864581
a 344 394 601209 601209
a 344 395 370336 239248
a 345 394 195686 195686
a 345 395 104679 104679
a 345 396 21670 21670
a 346 395 177330 177330
a 346 396 140857 140857
a 346 397 298437 28796
a 347 396 483601 483601
a 347 397 604910 331860
a 347 398 217100 217100
a 348 397 207615 207615
a 348 398 237809 237809
a 348 399 988775 89868
a 349 398 3282 3282
a 349 399 769795 0
a 349 400 452784 452784
a 350 399 697965 436507
a 350 400 51188 51188
a 350 401 510546 352631
a 351 400 171759 171759
a 351 401 575440 575440
a 351 352 598334 375298
a 352 451 190502 190502
a 352 402 316832 316832
a 352 403 223499 223499
a 353 402 15623 15623
a 353 403 54732 0
a 353 404 876583 295006
a 354 403 378634 298439
a 354 404 570486 310873
a 354 405 994143 978303
a 355 404 748969 478917
a 355 405 766171 297369
a 355 406 98821 98821
a 356 405 286990 286990
a 356 406 459852 437569
a 356 407 239678 239678
a 357 406 585426 0
a 357 407 943453 536101
a 357 408 360939 360939
a 358 407 318878 36718
a 358 408 667419 56126
a 358 409 598747 187511
a 359 408 307652 307652
a 359 409 187053 187053
a 359 410 884893 239395
a 360 409 276788 229116
a 360 410 885017 278342
a 360 411 936081 551566
a 361 410 303685 303685
a 361 411 573127 573127
a 361 412 511520 9171
a 362 411 902018 207712
a 362 412 763628 756698
a 362 413 344703 0
a 363 412 125516 125516
a 363 413 779251 122228
a 363 414 915786 912930
a 364 413 2098 2098
a 364 414 674236 674236
a 364 415 2623 2623
a 365 414 512592 0
a 365 415 939557 289489
a 365 416 768793 379472
a 366 415 611413 611413
a 366 416 742898 742898
a 366 417 744997 0
a 367 416 367442 367442
a 367 417 844676 137559
a 367 418 688449 0
a 368 417 728380 382586
a 368 418 679905 133
a 368 419 872219 113488
a 369 418 843478 843478
a 369 419 503908 503908
a 369 420 59271 0
a 370 419 728370 728370
a 370 420 780695 705499
a 370 421 460639 460639
a 371 420 180802 180802
a 371 421 84379 84379
a 371 422 33765 33765
a 372 421 208673 208673
a 372 422 986396 986396
a 372 423 797393 0
a 373 422 69727 69727
a 373 423 628263 286527
a 373 424 92995 46809
a 374 423 985512 985512
a 374 424 146712 146712
a 374 425 283582 283582
a 375 424 504486 274133
a 375 425 659304 659304
a 375 426 739490 0
a 376 425 273279 273279
